formula egzaminu;rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
formuła 2015;pisemny;podstawowy;język polski;kobiety;2015;67,3
formuła 2015;pisemny;podstawowy;język białoruski;kobiety;2015;77,4
formuła 2015;pisemny;podstawowy;język litewski;kobiety;2015;83,5
formuła 2015;pisemny;podstawowy;język ukraiński;kobiety;2015;77,4
formuła 2015;pisemny;podstawowy;matematyka;kobiety;2015;52,7
formuła 2015;pisemny;podstawowy;język angielski;kobiety;2015;75,8
formuła 2015;pisemny;podstawowy;język niemiecki;kobiety;2015;71,9
formuła 2015;pisemny;podstawowy;język francuski;kobiety;2015;82,1
formuła 2015;pisemny;podstawowy;język rosyjski;kobiety;2015;68,7
formuła 2015;pisemny;podstawowy;język hiszpański;kobiety;2015;83,9
formuła 2015;pisemny;podstawowy;język włoski;kobiety;2015;78,2
formuła 2015;pisemny;podstawowy;język polski;mężczyźni;2015;62,9
formuła 2015;pisemny;podstawowy;język białoruski;mężczyźni;2015;67,8
formuła 2015;pisemny;podstawowy;język litewski;mężczyźni;2015;73,0
formuła 2015;pisemny;podstawowy;język ukraiński;mężczyźni;2015;78,3
formuła 2015;pisemny;podstawowy;matematyka;mężczyźni;2015;58,0
formuła 2015;pisemny;podstawowy;język angielski;mężczyźni;2015;78,2
formuła 2015;pisemny;podstawowy;język niemiecki;mężczyźni;2015;70,7
formuła 2015;pisemny;podstawowy;język francuski;mężczyźni;2015;83,8
formuła 2015;pisemny;podstawowy;język rosyjski;mężczyźni;2015;64,3
formuła 2015;pisemny;podstawowy;język hiszpański;mężczyźni;2015;83,7
formuła 2015;pisemny;podstawowy;język włoski;mężczyźni;2015;79,1
formuła 2015;pisemny;podstawowy;język polski;ogółem;2015;65,7
formuła 2015;pisemny;podstawowy;język białoruski;ogółem;2015;74,0
formuła 2015;pisemny;podstawowy;język litewski;ogółem;2015;77,9
formuła 2015;pisemny;podstawowy;język ukraiński;ogółem;2015;77,8
formuła 2015;pisemny;podstawowy;matematyka;ogółem;2015;54,7
formuła 2015;pisemny;podstawowy;język angielski;ogółem;2015;76,7
formuła 2015;pisemny;podstawowy;język niemiecki;ogółem;2015;71,5
formuła 2015;pisemny;podstawowy;język francuski;ogółem;2015;82,5
formuła 2015;pisemny;podstawowy;język rosyjski;ogółem;2015;67,5
formuła 2015;pisemny;podstawowy;język hiszpański;ogółem;2015;83,9
formuła 2015;pisemny;podstawowy;język włoski;ogółem;2015;78,4
formuła 2015;pisemny;rozszerzony;język polski;kobiety;2015;61,0
formuła 2015;pisemny;rozszerzony;język białoruski;kobiety;2015;100,0
formuła 2015;pisemny;rozszerzony;język litewski;kobiety;2015;77,7
formuła 2015;pisemny;rozszerzony;język ukraiński;kobiety;2015;97,2
formuła 2015;pisemny;rozszerzony;matematyka;kobiety;2015;40,2
formuła 2015;pisemny;rozszerzony;język angielski;kobiety;2015;62,1
formuła 2015;pisemny;rozszerzony;język niemiecki;kobiety;2015;61,7
formuła 2015;pisemny;rozszerzony;język francuski;kobiety;2015;58,6
formuła 2015;pisemny;rozszerzony;język rosyjski;kobiety;2015;65,6
formuła 2015;pisemny;rozszerzony;język hiszpański;kobiety;2015;59,0
formuła 2015;pisemny;rozszerzony;język włoski;kobiety;2015;68,8
formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;kobiety;2015;24,7
formuła 2015;pisemny;rozszerzony;geografia;kobiety;2015;40,8
formuła 2015;pisemny;rozszerzony;biologia;kobiety;2015;41,9
